Source_Name DataRelease RAJ2000 DEJ2000 GLON GLAT Signif_Avg Flux1000 Unc_Flux1000 Energy_Flux100 Unc_Energy_Flux100 SpectrumType PL_Index Unc_PL_Index Pivot_Energy LP_Index Unc_LP_Index LP_beta Unc_LP_beta Flags CLASS ASSOC1 ASSOC_PROB_BAY ASSOC_PROB_LR Counterpart_Catalog RA_Counterpart DEC_Counterpart Unc_Counterpart VLBI_Counterpart Redshift SED_class nu_syn nuFnu_syn Variability_Index Frac_Variability Unc_Frac_Variability Highest_energy
"4FGL J1340.1+3857" 2 205.0427 38.9623 85.32948 74.39942 4.7065663 8.894975e-11 2.4777317e-11 1.5126807e-12 4.0509924e-13 PowerLaw 2.7010036 0.16313975 531.15356 2.655694 0.22520667 0.14008835 0.1785682 0 bcu "NVSS J133849+385111" 0.0 0.824516 nvss 204.7069549560547 38.853057861328125 0.0045000000000000005  -inf  0.0 0.0 19.851864 0.7721299 0.32770336 -inf
"4FGL J1342.7+0505" 1 205.6851 5.0904 334.21606 64.79888 8.615797 2.490171e-10 3.7205426e-11 2.9779389e-12 4.9207773e-13 PowerLaw 2.3034964 0.11272167 1308.2075 2.3028684 0.11292659 -0.0020599712 0.06594426 0 bll "4C +05.57" 0.9923557 0.98309886 rfc 205.681764358 5.07561691944 3.899999967416079e-07 "RFC J1342+0504" 0.13648  0.0 0.0 7.3090534 0.0 10.0 -inf
"4FGL J1357.1+1921" 1 209.2902 19.3608 9.152566 73.04521 8.890324 1.887961e-10 3.4078126e-11 4.373197e-12 5.4067357e-13 PowerLaw 2.7575893 0.10267171 462.5 2.7488012 0.112191506 0.014746742 0.0787817 4 fsrq "4C +19.44" 0.994996 0.9854682 bzcat 209.268486067 19.3187145417 7.500000265281415e-08 "RFC J1357+1919" 0.72  0.0 0.0 38.542778 0.5909878 0.18150161 -inf
"4FGL J1402.6+1600" 1 210.6584 16.0016 2.5889132 70.09433 6.4260263 1.3903556e-10 3.294469e-11 1.7052141e-12 4.0717237e-13 PowerLaw 1.9568448 0.16944845 4358.674 1.9634712 0.17555477 -0.0066318247 0.06978481 0 bll "4C +16.39" 0.9977989 0.97850204 bllac 210.685473171 15.999073725 1.3000000365082087e-07 "RFC J1402+1559" 0.2442 ISP 281838300000000.0 1.3265206e-12 17.969826 0.50352436 0.31714275 16.9343
"4FGL J1417.9+4613" 2 214.4818 46.2327 86.82722 64.36962 4.822316 6.4224986e-11 2.1639742e-11 1.1295835e-11 4.653161e-12 PowerLaw 2.9706252 0.17993587 344.5912 2.9878602 0.1750508 -0.029861992 0.0993184 0 fsrq "4C +46.29" 0.86641324 0.8544673 crates 214.28399658203125 46.11817169189453 0.0045000000000000005  1.554 LSP 6309573300000.0 7.719017e-13 21.848988 0.457031 0.21675096 -inf
"4FGL J1435.5+2021" 1 218.8839 20.3646 22.675241 65.29095 11.298288 3.8756795e-10 4.9180354e-11 4.6831788e-12 6.669119e-13 PowerLaw 2.2152832 0.10410725 2398.3674 1.9492921 0.22568879 0.24566258 0.13455328 0 bll "TXS 1433+205" 0.98990047 0.89537424 bzcat 218.841416313 20.3549631278 3.099999901223782e-07 "RFC J1435+2021" 0.748 LSP 51880005000000.0 1.8305474e-12 9.016002 0.0 10.0 24.3288
"4FGL J1443.1+5201" 1 220.7789 52.0294 90.51844 57.49047 8.217537 1.5321532e-10 2.5566691e-11 1.4796893e-12 3.0568788e-13 PowerLaw 2.0485194 0.12178101 2822.39 1.9482454 0.18332413 0.13199799 0.10149027 0 rdg "3C 303" 0.9941466 0.99380815 rfc 220.761502754 52.0270274389 9.499999720219421e-08 "RFC J1443+5201" 0.141186 LSP 22908676000000.0 4.787238e-12 8.547169 0.0 10.0 33.5189
"4FGL J1606.5+2717" 1 241.645 27.2973 44.856853 46.90409 6.736174 1.5327037e-10 3.4076873e-11 2.8323487e-12 4.928229e-13 PowerLaw 2.677999 0.15092272 603.872 2.7595935 0.12143194 -0.080015644 0.04579012 0 fsrq "B2 1604+27" 0.9811152 0.80564743 cgrabs 241.742918017 27.2848842889 1.3000000365082087e-07 "RFC J1606+2717" 0.934  0.0 0.0 15.312374 0.43868786 0.22514135 -inf
"4FGL J1607.0+1550" 1 241.7745 15.8447 29.35842 43.40537 51.13894 2.2452413e-09 8.324821e-11 2.1096017e-11 9.234251e-13 LogParabola 2.2592924 0.02418944 750.1686 2.14181 0.035602666 0.110978514 0.02035815 0 bll "4C +15.54" 0.99941295 0.9822661 bllac 241.776793537 15.859579325 1.3000000365082087e-07 "RFC J1607+1551" 0.496 LSP 9332543000000.0 2.3823688e-12 7.772051 0.0 10.0 60.8913
"4FGL J1608.3+4012" 1 242.084 40.2058 63.900486 47.584305 4.132608 8.8267615e-11 2.2633844e-11 1.2203845e-12 2.9884884e-13 PowerLaw 2.341534 0.17640686 1245.3093 1.6974233 0.52574563 0.55013216 0.3430266 0 fsrq "B2 1606+40" 0.9931806 0.87312794 bzcat 242.092323738 40.2049536889 1.199999957179898e-07 "RFC J1608+4012" 0.628143 LSP 5248074600000.0 1.1885214e-12 16.341373 0.56695443 0.4849606 -inf
