,Source_Name,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,CLASS,ASSOC1,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
36,4FGL J0033.5-1921,2.7879692e-09,9.421686e-11,3.1802717e-11,1.5732991e-12,LogParabola,1.7602993,0.020419717,bll,KUV 00311-1938,8.39325065417,-19.3592032028,3.4999999343199306e-07,0.61,HSP,7079457900000000.0,8.082524e-12,74.2456,0.25645125,0.06969772,364.523
37,4FGL J0035.2+1514,1.1625527e-09,6.8902974e-11,1.323888e-11,9.267149e-13,LogParabola,1.854817,0.03877867,bll,RX J0035.2+1515,8.81135048333,15.251153775,3.4999999343199306e-07,1.09026,ISP,970509940000000.0,3.5052096e-12,28.93597,0.26975292,0.09352929,263.987
38,4FGL J0035.8-0837,1.1781769e-10,3.0520038e-11,1.1769191e-12,3.4056975e-13,PowerLaw,2.1029685,0.17577907,bll,PMN J0035-0836,8.942709922790527,-8.598344802856445,1.6e-07,0.032,LSP,5754399500000.0,3.5209918e-13,17.346119,0.51566803,0.38487366,-inf
39,4FGL J0037.8+1239,7.296093e-10,5.4979046e-11,8.176968e-12,6.4521646e-13,PowerLaw,2.2157862,0.055814713,bll,NVSS J003750+123818,9.46200105417,12.6388553694,3.000000106112566e-07,0.089,HSP,1124604970000000.0,6.328226e-12,61.536144,0.5309858,0.14607924,81.2487
40,4FGL J0037.9+2612,1.5267976e-10,3.1643854e-11,2.0343015e-12,4.6101474e-13,PowerLaw,2.482798,0.1378797,bll,WISE J003719.15+261312.6,9.32982629583,26.2200656639,2.3812386018562398e-07,0.14767,,0.0,0.0,5.426872,0.0,10.0,-inf
41,4FGL J0038.1+0012,4.2125659e-10,4.220297e-11,4.296203e-12,5.1471853e-13,PowerLaw,2.0260842,0.07459794,bll,NVSS J003808+001336,9.535455025,0.226807130556,3.4999999343199306e-07,0.7395,LSP,63826347000000.0,5.856417e-13,8.304558,0.0,10.0,47.4881
42,4FGL J0040.3+4050,2.1754129e-10,4.1955727e-11,2.4479032e-12,4.9700885e-13,PowerLaw,1.9257007,0.14746493,bll,B3 0037+405,10.0575411875,40.8346463778,1.203626197820995e-06,-inf,LSP,19054607700000.0,5.794887e-13,16.410917,0.45155495,0.30221972,118.511
43,4FGL J0040.4-2340,1.8321836e-10,3.0230738e-11,2.2454998e-12,3.8445373e-13,PowerLaw,2.3491604,0.13283616,bll,PMN J0040-2340,10.1037706375,-23.6668797417,7.900000014160469e-07,0.213,ISP,316227772000000.0,1.5927881e-12,18.178686,0.5130673,0.23158719,-inf
44,4FGL J0042.0+3640,1.655587e-10,3.303671e-11,1.958344e-12,4.320583e-13,PowerLaw,2.1009848,0.15440343,bll,RX J0042.0+3641,10.533300399780272,36.68669891357422,0.0089999996125698,0.47,,0.0,0.0,7.2202554,0.0,10.0,29.9866
45,4FGL J0043.5-0442,1.8100954e-10,3.689431e-11,2.1978923e-12,4.6101984e-13,PowerLaw,1.9197034,0.14109725,bll,1RXS J004333.7-044257,10.8921778542,-4.71684286944,3.700000092976552e-07,0.48,,0.0,0.0,8.998507,0.0,10.0,16.5025
