Source_Name,Energy_Flux100,Unc_Energy_Flux100,PL_Index,CLASS,RA_Counterpart,DEC_Counterpart,Redshift,SED_class,nuFnu_syn,Highest_energy,ASSOC1
4FGL J0059.2+0006,2.38E-12,5.09E-13,2.3763874,fsrq,14.77297888,0.1143390917,0.719017,LSP,1.62E-12,-inf,PKS 0056-00
4FGL J0059.5-3338,1.85E-12,3.42E-13,2.8083227,fsrq,15.03912926,-33.62553787,0.874,LSP,2.20E-13,-inf,PKS B0057-338
4FGL J0101.8-7543,2.91E-12,5.09E-13,2.7899492,fsrq,15.57775048,-75.7810363,1.017,,0,-inf,PKS 0101-76
4FGL J0102.4+4214,7.91E-12,5.70E-13,2.6797183,fsrq,15.61312497,42.23860942,0.874,LSP,1.30E-12,-inf,GB6 J0102+4214
4FGL J0104.8-2416,6.50E-12,4.80E-13,2.5919423,fsrq,16.24252241,-24.27456835,1.747,LSP,1.48E-12,-inf,PKS 0102-245
4FGL J0108.1-0039,3.89E-12,6.60E-13,2.743876,fsrq,17.11184401,-0.6233791778,1.374626,LSP,1.26E-12,-inf,PKS 0105-008
4FGL J0108.6+0134,1.16E-10,1.69E-12,2.3618586,fsrq,17.16154629,1.583421453,2.099,LSP,6.04E-12,32.2949,4C +01.02
4FGL J0112.0-6634,3.73E-12,4.27E-13,2.727102,fsrq,18.07880382,-66.57921886,1.1888,LSP,9.08E-13,-inf,PKS 0110-668
4FGL J0112.1-0321,3.49E-12,5.18E-13,2.5255811,fsrq,18.16306197,-3.478560789,0.77177,ISP,4.91E-13,-inf,TXS 0110-037
4FGL J0112.8+3208,3.01E-11,9.57E-13,2.3405662,fsrq,18.20972105,32.13817571,0.603,LSP,1.22E-11,32.0247,4C +31.03
4FGL J0113.1-3553,3.53E-12,3.97E-13,2.4037652,fsrq,18.31606828,-35.8634352,1.22,LSP,1.34E-12,17.1555,PMN J0113-3551
4FGL J0113.4+4948,1.20E-11,7.17E-13,2.2192433,fsrq,18.36252837,49.80667869,0.389,LSP,3.97E-12,46.2684,S4 0110+49
4FGL J0115.1-0129,4.88E-12,6.06E-13,2.7212763,fsrq,18.82124975,-1.451271436,1.365,LSP,1.58E-12,-inf,PKS 0112-017
